,Date,total_sleep_hours,sleep_start,sleep_end
71,2023-03-01,13.100277777777777,2023-02-28 23:53:41-05:00,2023-03-01 08:01:39-05:00
72,2023-03-02,19.203055555555558,2023-03-01 23:49:30-05:00,2023-03-02 09:31:38-05:00
73,2023-03-03,16.667500000000004,2023-03-02 23:49:39-05:00,2023-03-03 09:31:37-05:00
74,2023-03-04,13.87361111111111,2023-03-03 23:53:38-05:00,2023-03-04 07:20:13-05:00
75,2023-03-05,21.19666666666667,2023-03-04 23:08:30-05:00,2023-03-05 10:01:55-05:00
76,2023-03-06,14.858611111111111,2023-03-05 22:57:08-05:00,2023-03-06 07:01:31-05:00
77,2023-03-07,12.602222222222224,2023-03-06 23:52:17-05:00,2023-03-07 07:31:31-05:00
78,2023-03-08,14.923055555555555,2023-03-07 23:18:39-05:00,2023-03-08 07:30:24-05:00
79,2023-03-09,11.862777777777776,2023-03-08 23:58:07-05:00,2023-03-09 07:05:31-05:00
80,2023-03-10,13.599722222222221,2023-03-09 22:30:00-05:00,2023-03-10 06:55:08-05:00
81,2023-03-11,25.647777777777783,2023-03-10 23:10:54-05:00,2023-03-11 08:27:35-05:00
82,2023-03-12,20.420555555555563,2023-03-11 23:54:15-05:00,2023-03-12 07:00:51-05:00
83,2023-03-13,21.695277777777772,2023-03-12 22:54:32-05:00,2023-03-13 07:01:59-05:00
84,2023-03-14,21.639166666666664,2023-03-13 22:57:18-05:00,2023-03-14 07:53:58-05:00
85,2023-03-15,20.694444444444454,2023-03-14 22:52:56-05:00,2023-03-15 07:00:30-05:00
86,2023-03-16,21.030000000000005,2023-03-15 22:50:29-05:00,2023-03-16 08:44:08-05:00
87,2023-03-17,14.502222222222223,2023-03-16 22:54:46-05:00,2023-03-17 07:01:51-05:00
88,2023-03-18,27.26638888888889,2023-03-17 22:54:24-05:00,2023-03-18 08:59:45-05:00
89,2023-03-19,23.813611111111108,2023-03-18 22:57:54-05:00,2023-03-19 08:31:57-05:00
90,2023-03-20,19.301111111111105,2023-03-19 22:58:30-05:00,2023-03-20 07:01:44-05:00
91,2023-03-21,22.418611111111108,2023-03-20 22:59:23-05:00,2023-03-21 07:54:29-05:00
92,2023-03-22,20.220833333333342,2023-03-21 23:01:46-05:00,2023-03-22 07:01:19-05:00
93,2023-03-23,22.911666666666658,2023-03-22 22:59:35-05:00,2023-03-23 07:54:20-05:00
94,2023-03-24,21.986666666666665,2023-03-23 22:58:38-05:00,2023-03-24 07:02:03-05:00
95,2023-03-25,21.761388888888884,2023-03-24 22:51:12-05:00,2023-03-25 07:01:28-05:00
96,2023-03-26,11.288333333333329,2023-03-25 22:58:14-05:00,2023-03-26 07:08:27-05:00
97,2023-03-27,27.300277777777776,2023-03-26 21:49:57-05:00,2023-03-27 07:02:01-05:00
98,2023-03-28,18.101388888888895,2023-03-27 23:00:32-05:00,2023-03-28 07:10:15-05:00
99,2023-03-29,19.363055555555558,2023-03-28 22:50:22-05:00,2023-03-29 07:00:28-05:00
100,2023-03-30,26.707500000000003,2023-03-29 22:44:10-05:00,2023-03-30 07:46:34-05:00
101,2023-03-31,19.052222222222223,2023-03-30 22:50:56-05:00,2023-03-31 07:02:02-05:00
102,2023-04-01,21.954444444444448,2023-03-31 22:52:35-05:00,2023-04-01 07:41:04-05:00
103,2023-04-02,23.86666666666666,2023-04-01 22:57:39-05:00,2023-04-02 07:30:31-05:00
104,2023-04-03,22.067222222222217,2023-04-02 22:57:27-05:00,2023-04-03 07:05:52-05:00
105,2023-04-04,21.645277777777775,2023-04-03 22:54:13-05:00,2023-04-04 07:03:15-05:00
106,2023-04-05,21.553333333333327,2023-04-04 22:56:51-05:00,2023-04-05 06:56:24-05:00
107,2023-04-06,21.94638888888889,2023-04-05 22:51:12-05:00,2023-04-06 07:45:21-05:00
108,2023-04-07,14.378611111111114,2023-04-06 22:54:33-05:00,2023-04-07 07:01:47-05:00
109,2023-04-08,24.01305555555555,2023-04-07 22:57:33-05:00,2023-04-08 07:52:45-05:00
110,2023-04-09,25.019166666666667,2023-04-08 21:30:00-05:00,2023-04-09 07:31:50-05:00
111,2023-04-10,25.32944444444444,2023-04-09 22:27:30-05:00,2023-04-10 07:02:01-05:00
112,2023-04-11,19.389444444444447,2023-04-10 22:22:27-05:00,2023-04-11 06:00:33-05:00
113,2023-04-12,22.276666666666664,2023-04-11 22:46:08-05:00,2023-04-12 07:00:34-05:00
114,2023-04-14,21.288888888888884,2023-04-13 22:52:58-05:00,2023-04-14 06:49:32-05:00
115,2023-04-15,20.66583333333334,2023-04-14 22:30:22-05:00,2023-04-15 07:42:39-05:00
116,2023-04-16,25.67527777777778,2023-04-15 22:09:33-05:00,2023-04-16 07:59:06-05:00
117,2023-04-17,20.788888888888888,2023-04-16 22:29:56-05:00,2023-04-17 07:00:40-05:00
118,2023-04-18,20.9725,2023-04-17 22:59:14-05:00,2023-04-18 07:01:13-05:00
119,2023-04-19,20.437499999999993,2023-04-18 22:53:14-05:00,2023-04-19 07:01:12-05:00
120,2023-04-20,23.78777777777778,2023-04-19 22:43:03-05:00,2023-04-20 07:45:19-05:00
121,2023-04-21,21.517222222222223,2023-04-20 22:50:17-05:00,2023-04-21 07:00:19-05:00
122,2023-04-22,23.88888888888889,2023-04-21 21:51:10-05:00,2023-04-22 07:46:36-05:00
123,2023-04-23,16.824166666666667,2023-04-22 21:30:00-05:00,2023-04-23 06:48:03-05:00
124,2023-04-24,18.733333333333338,2023-04-23 22:50:28-05:00,2023-04-24 06:01:17-05:00
125,2023-04-25,21.801111111111112,2023-04-24 22:48:36-05:00,2023-04-25 07:00:18-05:00
126,2023-04-26,17.29444444444445,2023-04-25 21:47:26-05:00,2023-04-26 06:01:39-05:00
127,2023-04-27,19.38222222222222,2023-04-26 21:57:14-05:00,2023-04-27 05:31:27-05:00
128,2023-04-28,23.23388888888889,2023-04-27 21:56:54-05:00,2023-04-28 07:01:36-05:00
129,2023-04-29,21.648888888888884,2023-04-28 22:41:29-05:00,2023-04-29 10:30:12-05:00
130,2023-04-30,24.47611111111112,2023-04-29 21:47:45-05:00,2023-04-30 06:30:19-05:00
131,2023-05-01,16.720000000000002,2023-04-30 21:55:43-05:00,2023-05-01 07:41:37-05:00
132,2023-05-02,21.563611111111115,2023-05-01 22:43:20-05:00,2023-05-02 07:01:10-05:00
133,2023-05-03,16.807222222222222,2023-05-02 21:59:03-05:00,2023-05-03 06:01:24-05:00
134,2023-05-04,19.251944444444455,2023-05-03 22:51:06-05:00,2023-05-04 06:34:27-05:00
135,2023-05-05,20.601111111111113,2023-05-04 21:54:57-05:00,2023-05-05 06:01:18-05:00
136,2023-05-06,26.04166666666666,2023-05-05 21:55:23-05:00,2023-05-06 08:30:17-05:00
137,2023-05-07,22.01861111111111,2023-05-06 22:49:12-05:00,2023-05-07 08:27:41-05:00
138,2023-05-08,19.260277777777773,2023-05-07 21:26:38-05:00,2023-05-08 05:31:23-05:00
139,2023-05-09,23.90444444444444,2023-05-08 22:49:38-05:00,2023-05-09 08:00:05-05:00
140,2023-05-10,22.549999999999997,2023-05-09 21:27:33-05:00,2023-05-10 07:45:15-05:00
141,2023-05-11,21.040277777777778,2023-05-10 21:43:45-05:00,2023-05-11 06:00:14-05:00
142,2023-05-12,23.44444444444444,2023-05-11 21:21:57-05:00,2023-05-12 07:22:22-05:00
143,2023-05-13,19.91777777777778,2023-05-12 22:17:55-05:00,2023-05-13 06:46:47-05:00
144,2023-05-14,25.175555555555558,2023-05-13 21:38:18-05:00,2023-05-14 07:09:43-05:00
145,2023-05-15,25.766944444444448,2023-05-14 21:51:48-05:00,2023-05-15 07:31:31-05:00
146,2023-05-16,23.725277777777777,2023-05-15 22:44:19-05:00,2023-05-16 07:02:09-05:00
147,2023-05-17,23.371111111111116,2023-05-16 21:40:27-05:00,2023-05-17 07:03:26-05:00
148,2023-05-18,22.833888888888882,2023-05-17 22:42:33-05:00,2023-05-18 07:00:17-05:00
149,2023-05-19,24.433611111111105,2023-05-18 21:54:54-05:00,2023-05-19 07:01:38-05:00
150,2023-05-20,26.529722222222215,2023-05-19 22:56:39-05:00,2023-05-20 07:57:31-05:00
151,2023-05-21,11.700277777777776,2023-05-20 23:32:01-05:00,2023-05-21 03:31:24-05:00
152,2023-05-22,22.828333333333333,2023-05-21 21:33:51-05:00,2023-05-22 06:09:43-05:00
153,2023-05-23,24.51944444444444,2023-05-22 21:59:06-05:00,2023-05-23 07:29:37-05:00
154,2023-05-24,24.145555555555564,2023-05-23 20:38:29-05:00,2023-05-24 07:28:17-05:00
155,2023-05-25,24.879444444444445,2023-05-24 22:58:54-05:00,2023-05-25 07:32:03-05:00
156,2023-05-26,23.86583333333333,2023-05-25 21:57:03-05:00,2023-05-26 07:41:13-05:00
157,2023-05-27,16.202499999999993,2023-05-26 23:30:29-05:00,2023-05-27 05:01:43-05:00
158,2023-05-28,22.982777777777773,2023-05-27 22:59:32-05:00,2023-05-28 07:00:14-05:00
159,2023-05-29,23.94222222222222,2023-05-28 21:45:06-05:00,2023-05-29 07:30:16-05:00
160,2023-05-30,20.64944444444445,2023-05-29 21:53:03-05:00,2023-05-30 07:31:26-05:00
161,2023-05-31,23.231944444444448,2023-05-30 21:32:27-05:00,2023-05-31 07:30:18-05:00
162,2023-06-01,26.08833333333333,2023-05-31 21:59:47-05:00,2023-06-01 07:31:41-05:00
163,2023-06-02,20.669999999999998,2023-06-01 20:30:00-05:00,2023-06-02 07:01:25-05:00
164,2023-06-03,24.91805555555555,2023-06-02 22:59:18-05:00,2023-06-03 08:30:15-05:00
165,2023-06-04,26.526388888888892,2023-06-03 22:38:59-05:00,2023-06-04 08:00:48-05:00
166,2023-06-05,24.20888888888889,2023-06-04 21:56:43-05:00,2023-06-05 07:31:07-05:00
167,2023-06-06,23.916388888888893,2023-06-05 21:53:52-05:00,2023-06-06 07:40:36-05:00
168,2023-06-07,25.471111111111117,2023-06-06 21:33:05-05:00,2023-06-07 07:30:21-05:00
169,2023-06-08,23.447777777777777,2023-06-07 21:04:11-05:00,2023-06-08 07:30:15-05:00
170,2023-06-09,20.987222222222226,2023-06-08 21:55:09-05:00,2023-06-09 07:00:59-05:00
171,2023-06-10,24.579722222222212,2023-06-09 22:52:14-05:00,2023-06-10 08:29:53-05:00
172,2023-06-11,26.700833333333332,2023-06-10 22:51:12-05:00,2023-06-11 08:06:18-05:00
173,2023-06-12,25.991388888888874,2023-06-11 22:00:50-05:00,2023-06-12 07:30:23-05:00
174,2023-06-13,25.315833333333334,2023-06-12 21:58:10-05:00,2023-06-13 07:30:13-05:00
175,2023-06-14,25.949166666666667,2023-06-13 21:59:52-05:00,2023-06-14 07:30:13-05:00
176,2023-06-15,21.825277777777785,2023-06-14 21:23:40-05:00,2023-06-15 07:27:37-05:00
177,2023-06-16,25.100277777777777,2023-06-15 21:58:58-05:00,2023-06-16 07:30:16-05:00
178,2023-06-17,20.450833333333343,2023-06-16 22:42:22-05:00,2023-06-17 06:31:10-05:00
179,2023-06-18,23.768611111111117,2023-06-17 22:40:09-05:00,2023-06-18 06:46:21-05:00
180,2023-06-19,25.293888888888894,2023-06-18 21:48:47-05:00,2023-06-19 07:27:59-05:00
181,2023-06-20,25.441388888888884,2023-06-19 21:45:23-05:00,2023-06-20 07:30:52-05:00
182,2023-06-21,24.907222222222227,2023-06-20 21:45:43-05:00,2023-06-21 07:29:55-05:00
183,2023-06-22,24.151111111111117,2023-06-21 21:56:23-05:00,2023-06-22 07:30:18-05:00
184,2023-06-23,24.878888888888888,2023-06-22 21:45:05-05:00,2023-06-23 07:30:14-05:00
185,2023-06-24,22.525000000000002,2023-06-23 22:34:25-05:00,2023-06-24 07:00:12-05:00
186,2023-06-25,28.870555555555566,2023-06-24 22:01:45-05:00,2023-06-25 07:47:06-05:00
187,2023-06-26,26.94555555555555,2023-06-25 22:19:21-05:00,2023-06-26 19:58:23-05:00
188,2023-06-27,19.653888888888893,2023-06-26 20:00:56-05:00,2023-06-27 05:14:15-05:00
189,2023-06-28,20.918333333333326,2023-06-27 21:42:44-05:00,2023-06-28 05:55:54-05:00
190,2023-06-29,22.902777777777768,2023-06-28 21:42:16-05:00,2023-06-29 07:24:06-05:00
191,2023-06-30,22.91444444444443,2023-06-29 21:42:43-05:00,2023-06-30 06:01:32-05:00
192,2023-07-01,19.63611111111111,2023-06-30 22:57:39-05:00,2023-07-01 06:00:18-05:00
193,2023-07-02,20.95777777777778,2023-07-01 22:54:17-05:00,2023-07-02 07:19:39-05:00
194,2023-07-03,23.433055555555555,2023-07-02 21:52:02-05:00,2023-07-03 06:01:55-05:00
195,2023-07-04,21.536388888888883,2023-07-03 21:43:13-05:00,2023-07-04 06:33:19-05:00
196,2023-07-05,22.148333333333337,2023-07-04 21:34:25-05:00,2023-07-05 07:00:57-05:00
197,2023-07-06,25.86666666666667,2023-07-05 21:22:25-05:00,2023-07-06 07:01:48-05:00
198,2023-07-07,25.250555555555554,2023-07-06 21:43:29-05:00,2023-07-07 07:01:19-05:00
199,2023-07-08,20.59333333333333,2023-07-07 22:59:02-05:00,2023-07-08 07:00:53-05:00
200,2023-07-09,25.513611111111107,2023-07-08 22:26:29-05:00,2023-07-09 07:01:36-05:00
201,2023-07-10,19.782500000000006,2023-07-09 21:16:21-05:00,2023-07-10 06:01:26-05:00
202,2023-07-11,20.524444444444452,2023-07-10 21:41:37-05:00,2023-07-11 05:31:30-05:00
203,2023-07-12,25.966666666666665,2023-07-11 20:48:01-05:00,2023-07-12 07:02:39-05:00
204,2023-07-13,23.391944444444444,2023-07-12 21:44:27-05:00,2023-07-13 06:30:25-05:00
205,2023-07-14,24.521666666666672,2023-07-13 21:37:12-05:00,2023-07-14 07:01:44-05:00
206,2023-07-15,24.196666666666665,2023-07-14 22:12:06-05:00,2023-07-15 07:00:18-05:00
207,2023-07-16,22.067222222222224,2023-07-15 22:40:40-05:00,2023-07-16 07:00:17-05:00
208,2023-07-17,23.236388888888893,2023-07-16 20:29:41-05:00,2023-07-17 07:00:12-05:00
209,2023-07-18,24.368888888888893,2023-07-17 21:39:32-05:00,2023-07-18 07:01:33-05:00
210,2023-07-19,26.33388888888889,2023-07-18 21:42:23-05:00,2023-07-19 07:01:58-05:00
211,2023-07-20,24.54388888888889,2023-07-19 21:43:45-05:00,2023-07-20 06:55:09-05:00
212,2023-07-21,24.56777777777777,2023-07-20 21:40:18-05:00,2023-07-21 07:01:33-05:00
213,2023-07-22,24.291944444444443,2023-07-21 22:42:50-05:00,2023-07-22 07:00:21-05:00
214,2023-07-23,22.502777777777776,2023-07-22 23:00:00-05:00,2023-07-23 07:01:22-05:00
215,2023-07-24,22.41305555555556,2023-07-23 21:23:53-05:00,2023-07-24 07:01:07-05:00
216,2023-07-25,24.0,2023-07-24 21:08:24-05:00,2023-07-25 07:00:49-05:00
217,2023-07-26,23.686666666666664,2023-07-25 21:44:01-05:00,2023-07-26 07:00:36-05:00
218,2023-07-27,21.183333333333334,2023-07-26 20:15:00-05:00,2023-07-27 06:46:02-05:00
219,2023-07-28,25.687777777777775,2023-07-27 21:17:19-05:00,2023-07-28 08:00:02-05:00
220,2023-07-29,14.818611111111112,2023-07-28 22:08:45-05:00,2023-07-29 05:25:33-05:00
221,2023-07-30,19.324166666666667,2023-07-29 22:46:23-05:00,2023-07-30 07:01:38-05:00
222,2023-07-31,16.901666666666667,2023-07-30 23:35:32-05:00,2023-07-31 07:01:55-05:00
223,2023-08-01,22.576111111111103,2023-07-31 21:01:37-05:00,2023-08-01 07:01:03-05:00
224,2023-08-02,21.94555555555556,2023-08-01 21:23:13-05:00,2023-08-02 07:01:24-05:00
225,2023-08-03,23.049999999999997,2023-08-02 21:27:03-05:00,2023-08-03 07:10:49-05:00
226,2023-08-04,25.08277777777778,2023-08-03 22:40:33-05:00,2023-08-04 08:00:32-05:00
227,2023-08-05,18.929166666666664,2023-08-04 22:55:38-05:00,2023-08-05 06:01:12-05:00
228,2023-08-06,19.968055555555537,2023-08-05 22:59:13-05:00,2023-08-06 07:28:48-05:00
229,2023-08-07,27.566666666666674,2023-08-06 20:46:24-05:00,2023-08-07 07:01:54-05:00
230,2023-08-08,25.208611111111114,2023-08-07 21:42:48-05:00,2023-08-08 07:00:05-05:00
231,2023-08-09,25.14555555555556,2023-08-08 21:49:23-05:00,2023-08-09 07:00:18-05:00
232,2023-08-10,23.926111111111112,2023-08-09 21:39:44-05:00,2023-08-10 07:00:42-05:00
233,2023-08-11,25.37416666666668,2023-08-10 21:29:03-05:00,2023-08-11 07:01:14-05:00
234,2023-08-12,20.42583333333333,2023-08-11 22:54:36-05:00,2023-08-12 06:31:46-05:00
235,2023-08-13,22.291111111111114,2023-08-12 21:30:00-05:00,2023-08-13 06:38:21-05:00
236,2023-08-14,25.253611111111105,2023-08-13 21:30:23-05:00,2023-08-14 07:01:17-05:00
237,2023-08-15,23.610833333333332,2023-08-14 20:16:48-05:00,2023-08-15 07:00:16-05:00
238,2023-08-16,22.946388888888883,2023-08-15 21:35:56-05:00,2023-08-16 07:53:09-05:00
239,2023-08-17,23.75805555555555,2023-08-16 20:44:16-05:00,2023-08-17 07:01:37-05:00
240,2023-08-18,24.347500000000004,2023-08-17 21:33:05-05:00,2023-08-18 07:00:59-05:00
241,2023-08-19,19.677777777777774,2023-08-18 22:53:56-05:00,2023-08-19 07:00:14-05:00
242,2023-08-20,21.591111111111108,2023-08-19 22:37:05-05:00,2023-08-20 08:00:23-05:00
243,2023-08-21,26.382499999999997,2023-08-20 20:17:41-05:00,2023-08-21 07:00:14-05:00
244,2023-08-22,21.8075,2023-08-21 21:40:52-05:00,2023-08-22 06:05:06-05:00
245,2023-08-23,25.390555555555554,2023-08-22 20:54:53-05:00,2023-08-23 07:00:19-05:00
246,2023-08-24,25.208055555555553,2023-08-23 20:47:23-05:00,2023-08-24 06:31:27-05:00
247,2023-08-25,22.943888888888885,2023-08-24 21:38:03-05:00,2023-08-25 07:00:17-05:00
248,2023-08-26,19.602777777777778,2023-08-25 22:59:00-05:00,2023-08-26 07:00:25-05:00
249,2023-08-27,23.270000000000007,2023-08-26 22:46:02-05:00,2023-08-27 07:01:15-05:00
250,2023-08-28,23.066388888888884,2023-08-27 20:45:53-05:00,2023-08-28 07:01:01-05:00
251,2023-08-29,24.59777777777778,2023-08-28 21:37:27-05:00,2023-08-29 07:01:43-05:00
252,2023-08-30,22.630555555555546,2023-08-29 21:32:19-05:00,2023-08-30 07:00:59-05:00
253,2023-08-31,21.170555555555556,2023-08-30 21:44:29-05:00,2023-08-31 07:01:16-05:00
254,2023-09-01,23.935000000000006,2023-08-31 21:41:31-05:00,2023-09-01 07:02:09-05:00
255,2023-09-02,24.78694444444444,2023-09-01 22:02:59-05:00,2023-09-02 06:31:44-05:00
256,2023-09-03,27.204444444444444,2023-09-02 21:30:00-05:00,2023-09-03 07:02:01-05:00
257,2023-09-04,21.6475,2023-09-03 21:54:01-05:00,2023-09-04 07:01:59-05:00
258,2023-09-05,24.160833333333326,2023-09-04 21:20:08-05:00,2023-09-05 07:00:18-05:00
259,2023-09-06,21.86416666666666,2023-09-05 21:19:56-05:00,2023-09-06 07:00:50-05:00
260,2023-09-07,22.709722222222226,2023-09-06 21:37:42-05:00,2023-09-07 07:00:58-05:00
261,2023-09-08,23.998611111111106,2023-09-07 21:41:55-05:00,2023-09-08 07:01:27-05:00
262,2023-09-09,23.477777777777778,2023-09-08 22:54:39-05:00,2023-09-09 08:30:13-05:00
263,2023-09-10,25.091388888888883,2023-09-09 22:24:54-05:00,2023-09-10 07:01:51-05:00
264,2023-09-11,24.114444444444448,2023-09-10 21:42:21-05:00,2023-09-11 07:02:24-05:00
265,2023-09-12,23.44166666666667,2023-09-11 21:39:55-05:00,2023-09-12 07:00:42-05:00
266,2023-09-13,21.61833333333333,2023-09-12 21:21:55-05:00,2023-09-13 07:00:42-05:00
267,2023-09-14,21.031111111111116,2023-09-13 21:44:13-05:00,2023-09-14 07:01:28-05:00
268,2023-09-15,24.876388888888886,2023-09-14 21:29:41-05:00,2023-09-15 07:01:12-05:00
269,2023-09-16,14.543333333333335,2023-09-15 22:53:59-05:00,2023-09-16 07:01:08-05:00
270,2023-09-17,21.24277777777778,2023-09-16 20:04:27-05:00,2023-09-17 04:53:53-05:00
271,2023-09-18,25.01694444444444,2023-09-17 21:27:28-05:00,2023-09-18 07:01:28-05:00
272,2023-09-19,23.521388888888886,2023-09-18 21:42:15-05:00,2023-09-19 07:01:12-05:00
