,date,first_visited_time,first_visited_chrome_title,last_visited_time,last_visited_chrome_title,total_school_keyword_count,uva,canvas,zzb2rf,drive,last_school_keyword_visit_time
166,2024-08-08,,,,,0,0,0,0,0,
167,2024-08-09,11:44:32,Access to UVA SIS Interrupted,14:12:55,Candidate Home,33,28,0,0,5,14:12:55
168,2024-08-10,,,,,0,0,0,0,0,
169,2024-08-11,,,,,0,0,0,0,0,
170,2024-08-12,,,,,0,0,0,0,0,
171,2024-08-13,,,,,0,0,0,0,0,
172,2024-08-14,,,,,0,0,0,0,0,
173,2024-08-15,,,,,0,0,0,0,0,
174,2024-08-16,,,,,0,0,0,0,0,
175,2024-08-17,,,,,0,0,0,0,0,
176,2024-08-18,19:12:07,New Grad 2025 - Google Sheets,20:03:42,Candidate Home,0,0,0,0,0,20:03:42
177,2024-08-19,08:48:51,"Inbox (6,117) - elzhang066@gmail.com - Gmail",18:01:33,"Inbox (6,118) - elzhang066@gmail.com - Gmail",11,11,0,0,0,18:01:33
178,2024-08-20,09:59:48,finishline.narvar.com,19:29:45,ChatGPT,29,2,0,0,27,19:29:45
179,2024-08-21,18:44:18,"Notion – The all-in-one workspace for your notes, tasks, wikis, and databases.",23:58:40,New Grad 2025 - Google Sheets,0,0,0,0,0,23:58:40
180,2024-08-22,00:02:54,Fostering A Litter Of Puppies Is The Perfect Post-Divorce Move | The Dodo - YouTube,22:37:22,(23) Feed | LinkedIn,15,15,0,0,0,22:37:22
181,2024-08-23,09:50:44,New Grad 2025 - Google Sheets,09:58:19,Thank you for applying,0,0,0,0,0,09:58:19
182,2024-08-24,17:57:56,New Grad 2025 - Google Sheets,19:51:13,Group Anagrams - LeetCode,13,0,0,0,13,19:51:13
183,2024-08-25,10:38:28,Group Anagrams - LeetCode,18:55:52,banh mi virginia beach - Google Search,16,9,0,7,0,18:55:52
184,2024-08-26,,,,,0,0,0,0,0,
185,2024-08-27,09:27:07,Your AdBlock has been updated!,22:36:30,"Inbox (6,205) - elzhang066@gmail.com - Gmail",115,89,26,0,0,22:36:30
186,2024-08-28,10:18:23,Careers at PayPal,21:29:55,Action Center | Microsoft Careers,106,88,10,8,0,21:29:55
187,2024-08-29,09:34:28,Google,18:44:47,1800 JPA,37,11,10,0,16,18:44:47
188,2024-08-30,09:54:17,Number of Islands - LeetCode,17:07:36,Java Queue Usage Guide,74,54,0,3,17,17:07:36
189,2024-08-31,,,,,0,0,0,0,0,
190,2024-09-01,13:58:44,Database Systems - Google Docs,22:46:17,Nike Everyday Plus Cushioned Training Ankle Socks (6 Pairs). Nike.com,124,30,82,0,12,22:46:17
191,2024-09-02,14:38:08,NetBadge Message - Loading Session Information,18:27:21,ChatGPT,104,36,53,7,8,18:27:21
192,2024-09-03,09:55:01,"Inbox (6,253) - elzhang066@gmail.com - Gmail",23:47:48,resume - elzhang066@gmail.com - Gmail,218,118,43,27,30,23:47:48
193,2024-09-04,00:09:05,resume - elzhang066@gmail.com - Gmail,22:59:58,Portfolio Summary,79,6,58,0,15,22:59:58
194,2024-09-05,15:31:52,STS Discussion Brainstorm - Google Docs,16:43:24,Ko-fi | Fund Your Passions,43,2,17,0,24,16:43:24
195,2024-09-06,11:00:50,CS 3100 Dashboard | Gradescope,18:02:03,Your Page Title,70,12,9,0,49,18:02:03
196,2024-09-07,14:37:38,Your AdBlock has been updated!,21:54:30,Top K Frequent Elements - LeetCode,2,0,2,0,0,21:54:30
197,2024-09-08,12:11:37,HW1_CS4750.drawio - draw.io,20:07:47,View Submission | Gradescope,11,0,11,0,0,20:07:47
198,2024-09-09,12:16:12,HW1_CS4750.drawio - draw.io,18:11:37,best european countries to visit in january - Google Search,144,26,84,2,32,18:11:37
199,2024-09-10,09:34:43,Google,22:53:41,what doctor to see for sciatica - Google Search,90,16,56,3,15,22:53:41
200,2024-09-11,11:12:53,Dashboard,19:45:31,LeetCode Prep - Google Docs,49,10,29,4,6,19:45:31
201,2024-09-12,09:27:47,Dashboard,23:27:24,(17) Facebook Marketplace | Facebook,79,30,36,5,8,23:27:24
202,2024-09-13,11:56:41,STS Discussion Brainstorm - Google Docs,17:33:46,understanding the mathematics of machine learninglinear regression - YouTube,4,2,2,0,0,17:33:46
203,2024-09-14,15:52:52,Google,22:30:05,uva vs maryland football - Google Search,44,9,28,3,4,22:30:05
204,2024-09-15,12:34:45,Topic: Question Formation Exercise #3,22:10:46,YouTube,54,0,29,4,21,22:10:46
205,2024-09-16,10:17:32,CS 4750 P2 - Google Docs,22:34:23,"Pi, your personal AI",111,52,38,16,5,22:34:23
206,2024-09-17,09:59:56,"a more proactive healthcare system, where continuous monitoring and early intervention - Google Search",21:49:14,CS4750_HW2.drawio - draw.io,81,20,44,10,7,21:49:14
207,2024-09-18,12:56:16,ChatGPT,20:44:08,"powerset of 0,1 - Google Search",17,6,11,0,0,20:44:08
208,2024-09-19,00:23:52,View Submission | Gradescope,23:19:48,utility bag | SAMO ONDOH,74,50,9,6,9,23:19:48
209,2024-09-20,11:03:32,Home | Microsoft Careers,23:04:46,Canvas LMS,103,5,68,1,29,23:04:46
210,2024-09-21,22:47:01,Dashboard,23:13:45,ChatGPT,35,4,29,0,2,23:13:45
211,2024-09-22,13:48:26,2408.14507,23:35:03,STS Discussion Brainstorm - Google Docs,31,6,23,0,2,23:35:03
212,2024-09-23,11:54:58,Google Colab,23:25:19,Pacific Atlantic Water Flow - LeetCode,95,6,33,8,48,23:25:19
213,2024-09-24,01:04:29,Pacific Atlantic Water Flow - LeetCode,23:24:37,Quiz 1 Notes - Google Docs,79,27,25,12,15,23:24:37
214,2024-09-25,11:18:20,Quiz 1 Notes - Google Docs,19:03:59,Canvas LMS,62,10,26,4,22,19:03:59
215,2024-09-26,09:31:06,CS 4501: F1 Notes - Google Docs,21:11:32,Address – Fidelity Investments,123,43,48,20,12,21:11:32
216,2024-09-27,10:21:50,Google,22:30:46,Open my dream bag with me #unboxingvideo #dreambag #polene #asmrunboxing #springfashion2023 #totebag - YouTube,86,54,22,10,0,22:30:46
217,2024-09-28,10:31:57,Google,23:44:58,Topic: Question Formation Exercise #5,53,4,28,0,21,23:44:58
218,2024-09-29,11:53:16,NetBadge Message - Loading Session Information,21:07:49,Files,67,12,55,0,0,21:07:49
219,2024-09-30,00:07:04,Dashboard,23:20:30,YouTube,66,24,33,0,9,23:20:30
220,2024-10-01,09:29:18,Reading Input Commands in Python,21:57:13,CS 4750 Dashboard | Gradescope,42,5,34,0,3,21:57:13
221,2024-10-02,11:56:29,Piazza • Ask. Answer. Explore. Whenever.,23:34:11,CS_ 4501-006 (16 unread) | Piazza QA,57,14,30,0,13,23:34:11
222,2024-10-03,00:56:14,NetBadge Message - Loading Session Information,16:44:58,(16) Brad Campbell | LinkedIn,93,11,36,5,41,16:44:58
223,2024-10-04,11:53:48,Dashboard,19:29:47,ChatGPT,20,2,16,0,2,19:29:47
224,2024-10-05,12:15:03,R6 Reading Notes - Google Docs,23:07:18,PokeMMO - New Device Verification - elzhang066@gmail.com - Gmail,46,8,14,0,24,23:07:18
225,2024-10-06,16:55:57,fire red best eevee evolution - Google Search,21:33:57,Canvas LMS,14,2,12,0,0,21:33:57
226,2024-10-07,10:23:56,"Inbox (6,481) - elzhang066@gmail.com - Gmail",22:18:33,Assignment 2: Paper Summary - Google Docs,142,93,32,2,15,22:18:33
227,2024-10-08,10:55:56,Google Drive,23:41:29,Pokémon Go Type Effectiveness and Weakness Chart | Eurogamer.net,53,16,24,2,11,23:41:29
228,2024-10-09,11:53:59,NetBadge Message - Loading Session Information,22:48:22,View Submission | Gradescope,140,63,41,6,30,22:48:22
229,2024-10-10,09:25:44,HCI Proposal Presentation - Google Slides,21:45:49,Delivery Manager,38,4,25,0,9,21:45:49
230,2024-10-11,11:55:35,Library catalog data - Google Search,22:47:38,"Fall Festival | City of Fairfax, VA",18,4,3,0,11,22:47:38
231,2024-10-12,10:12:29,NetBadge Message - Loading Session Information,10:59:53,joann fabric store - Google Maps,18,2,16,0,0,10:59:53
232,2024-10-13,11:07:36,CS 3100 Dashboard | Gradescope,22:33:29,CS 4750 P3 - Google Docs,15,4,5,0,6,22:33:29
233,2024-10-14,,,,,0,0,0,0,0,
